Matrnr;Anrede;Nachname;Vorname;Email;Note;Punkte;Prfbem;Versucht;Studiengang;Fachgruppe;Fachsemester;Vorbehalt
12345678;Herr;Meier;Kai;Kai.Meier@stud.uni-goettingen.de;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);1;0
23456789;Frau;Maier;Oliver;Oliver.Maier@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);2;0
12347893;Frau;Frank;Frank;Frank.Frank@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);3;0
98745632;Herr;Kerl;Jens;Jens.Kerl@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);4;0
12345676;Frau;Karl;Gerd;Gerd.Karl@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);5;0
25874136;Frau;Url;Franz;Franz.Url@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);6;0
45896321;Frau;Obi;Konrad;Konrad.Obi@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);7;0
10101022;Frau;Wan;Michael;Michael.Wan@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);1;0
10102525;Frau;Kenobi;Thomas;Thomas.Kenobi@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);2;0
47859632;Frau;Yoda;Petrus;Petrus.Yoda@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);3;0
15987412;Frau;Batman;Simon;Simon.Batman@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);4;0
12001212;Frau;Peter;Andereas;Andereas.Peter@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);5;0
